customer_message,spotify_reply,clean_customer_message,intent,auto_or_escalate
@SpotifyCares its is hooked to facebook which I do not have anymore blah blah blah. I want to sign up again but can't again blah blah blah.,"@153883 Hey there, help's here! Could you fire over a DM with more info about what's going on? We'll take a look backstage /ZO https://t.co/ldFdZRiNAt",its is hooked to facebook which i do not have anymore blah blah blah i want to sign up again but can t again blah blah blah,General Support,Auto
"@SpotifyCares trying to convert my account to the student bundle, but I get an error when clicking “get started”.",@383489 Hey there! Can you DM us your account's email address or username? We'll take a look /NS https://t.co/ldFdZRiNAt,trying to convert my account to the student bundle but i get an error when clicking get started,General Support,Auto
@SpotifyCares Hi have sent a message about an issue with my account requiring support,"@208906 Hi, we've just replied to your DMs. We'll carry on chatting there /SY",hi have sent a message about an issue with my account requiring support,General Support,Auto
Anyone working @SpotifyCares today!! Can't use account but your still taking my coin,@389560 Hey! We've just sent you a DM 🙂 Let's carry on chatting there /RV,anyone working today can t use account but your still taking my coin,General Support,Auto
"@SpotifyCares @SpotifyCares ah, I guess it’s because I’ve revived n old account and had deleted the main one I had been using for years? Which reminds me, I had lots of playlists on the old account (leonclowes) - is there any way of retrieving these please? Thanks","@132498 Hey there! Unfortunately we're unable to recover your previous Discover Weekly. Be sure to save your favorites, so you don't miss out in the future /PL",ah i guess it s because i ve revived n old account and had deleted the main one i had been using for years which reminds me i had lots of playlists on the old account leonclowes is there any way of retrieving these please thanks,Playlist Issue,Auto
"@SpotifyCares I have attempted to use the “remove headspace” button, but it just takes me to signing up for a student account, any other ideas? https://t.co/UHsyOFqgkZ",@366083 Got it. Can you DM us your account's email address or username? We'll take a look backstage /SF https://t.co/ldFdZRiNAt,i have attempted to use the remove headspace button but it just takes me to signing up for a student account any other ideas,General Support,Auto
"@SpotifyCares My premium account, suddenly turn in to a free account, I have paid but I just can't go back to premium! I think it is cause of my address",@264904 Can you DM us your account's email address? We'll have a look backstage /ST https://t.co/ldFdZRiNAt,my premium account suddenly turn in to a free account i have paid but i just can t go back to premium i think it is cause of my address,Premium Billing,Escalate
"@SpotifyCares Hi team, I'm about to sign up to premium. I would like to get the @246284 offer. Can I upgrade to a family premium too?",@255746 Hi Ray! Can you DM us your account's username or email address? We'll see what we can suggest /TC https://t.co/ldFdZRiNAt,hi team i m about to sign up to premium i would like to get the offer can i upgrade to a family premium too,Premium Billing,Escalate
"@SpotifyCares My iPhone logged me out &amp; now says my log-in is incorrect. When I try to reset my password it says, The CSRF is invalid.",@344258 Hey there! Could you DM us your Spotify account's email address? We'll take a look under the hood /BH https://t.co/ldFdZRiNAt,my iphone logged me out amp now says my log in is incorrect when i try to reset my password it says the csrf is invalid,Login Issue,Auto
"@SpotifyCares I have a question When I try to log in, it says that I apparently use my facebook to log in. When I try to log in with facebook, it says that I need to change my facebook password. But why? I am in facebook, no problem. Bottom line: I cannot enter into spotify.","@260508 Hey David, that's not cool! Could you DM us your account's email address? We'll take a look backstage /BX https://t.co/ldFdZRiNAt",i have a question when i try to log in it says that i apparently use my facebook to log in when i try to log in with facebook it says that i need to change my facebook password but why i am in facebook no problem bottom line i cannot enter into spotify,Login Issue,Auto
"@SpotifyCares Thanks. If I set the young 'uns up with Family accounts, would it then be possible?","@344979 1: Sure thing! In order to use the Spotify and access the Content, they need to be 18 or older, or be 13 or older and have...",thanks if i set the young uns up with family accounts would it then be possible,General Support,Auto
